%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 3 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 76.00 4.00 97.69 0.00 123.00 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 109.00 50.00 90.00
1985 3 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 75.00 4.00 97.68 0.00 168.00 -999.00 295.00 -999.00 -999.00 -999.00 -999.00 99.00 284.00 60.00
1985 3 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 77.00 3.60 97.74 0.00 82.00 -999.00 294.00 -999.00 -999.00 -999.00 -999.00 69.00 77.00 90.00
1985 3 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 79.00 3.60 97.81 0.00 22.00 -999.00 302.00 -999.00 -999.00 -999.00 -999.00 22.00 0.00 110.00
1985 3 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 82.00 3.00 97.86 0.00 0.00 -999.00 278.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 3 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 84.00 2.40 97.90 0.00 0.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 86.00 2.10 97.96 0.00 0.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 30.00
1985 3 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 88.00 1.30 98.03 0.00 0.00 -999.00 292.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 20.00
1985 3 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 85.00 1.70 98.10 0.00 0.00 -999.00 269.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 3 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 90.00 0.20 98.13 0.00 0.00 -999.00 263.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 3 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 94.00 -0.60 98.20 0.00 0.00 -999.00 256.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 280.00
1985 4 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 99.00 -2.00 98.24 0.00 0.00 -999.00 250.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 290.00
1985 4 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 94.00 -1.00 98.29 0.00 0.00 -999.00 263.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 290.00
1985 4 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 95.00 -1.10 98.37 0.00 0.00 -999.00 267.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 4 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 94.00 -0.80 98.40 0.00 0.00 -999.00 274.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
